"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8"
"ENSMUSG00000000001" 189 478 396 646 631 557 321 730
"ENSMUSG00000000003" 0 0 0 0 0 0 0 0
"ENSMUSG00000000028" 5 13 15 15 22 13 8 25
"ENSMUSG00000000031" 5 15 13 13 9 8 2 11
"ENSMUSG00000000037" 11 19 14 13 20 19 14 24
"ENSMUSG00000000049" 1 2 2 2 3 0 3 1
"ENSMUSG00000000056" 247 632 478 637 606 628 517 937
"ENSMUSG00000000058" 143 374 253 265 236 269 156 438
"ENSMUSG00000000078" 554 1117 891 1076 1428 1233 843 1428
"ENSMUSG00000000085" 132 254 231 237 342 248 190 304
"ENSMUSG00000000088" 145 270 182 218 262 252 196 248
"ENSMUSG00000000093" 5 12 4 12 5 8 8 9
"ENSMUSG00000000094" 0 2 1 3 5 1 3 1
"ENSMUSG00000000103" 0 0 0 0 0 0 0 0
"ENSMUSG00000000120" 5 21 13 20 101 14 9 14
"ENSMUSG00000000125" 6 8 8 14 18 7 10 28
"ENSMUSG00000000126" 50 69 68 83 88 64 61 110
"ENSMUSG00000000127" 225 443 473 521 559 481 434 606
"ENSMUSG00000000131" 293 769 609 876 1002 995 738 1068
"ENSMUSG00000000134" 124 258 202 269 367 288 224 291
"ENSMUSG00000000142" 171 329 357 323 403 314 248 365
"ENSMUSG00000000148" 63 157 110 161 189 217 143 182
"ENSMUSG00000000149" 238 548 515 520 685 662 358 681
"ENSMUSG00000000154" 0 4 2 6 3 1 3 2
"ENSMUSG00000000157" 0 0 0 0 0 0 0 1
"ENSMUSG00000000159" 1 5 2 2 4 2 3 3
"ENSMUSG00000000167" 11 30 32 44 42 26 38 45
"ENSMUSG00000000168" 408 965 782 1044 1222 1321 1120 1429
"ENSMUSG00000000171" 169 364 287 355 428 418 386 482
"ENSMUSG00000000182" 0 2 0 1 5 2 1 3
"ENSMUSG00000000183" 0 0 0 0 0 0 0 0
"ENSMUSG00000000184" 398 830 473 737 630 648 405 989
"ENSMUSG00000000194" 227 585 497 715 716 647 555 793
"ENSMUSG00000000197" 1050 2764 2004 2753 2911 2915 2279 3207
"ENSMUSG00000000202" 24 65 69 89 141 139 109 101
"ENSMUSG00000000204" 0 0 0 1 0 0 0 0
"ENSMUSG00000000214" 2 4 5 5 43 5 6 4
"ENSMUSG00000000215" 1 3 1 0 1 1 0 1
"ENSMUSG00000000216" 1 7 3 6 3 6 1 8
"ENSMUSG00000000223" 396 880 936 1139 1121 1089 1003 1368
"ENSMUSG00000000244" 0 0 0 0 0 0 0 1
"ENSMUSG00000000247" 252 536 329 487 466 572 329 567
"ENSMUSG00000000248" 0 0 0 0 0 0 0 1
"ENSMUSG00000000253" 86 226 198 243 234 249 206 253
"ENSMUSG00000000263" 3 6 5 7 30 1 3 6
"ENSMUSG00000000266" 221 492 336 432 568 456 360 572
"ENSMUSG00000000275" 32 44 38 58 61 49 26 52
"ENSMUSG00000000276" 716 1847 1343 1694 1860 2119 1594 2404
"ENSMUSG00000000278" 41 89 63 97 100 83 36 97
"ENSMUSG00000000282" 101 217 165 204 265 209 181 276
"ENSMUSG00000000290" 15 26 36 37 40 29 20 39
"ENSMUSG00000000295" 29 66 64 80 72 72 100 83
"ENSMUSG00000000296" 78 238 129 194 182 206 136 269
"ENSMUSG00000000301" 5 18 10 10 13 11 14 17
"ENSMUSG00000000303" 59 86 82 112 94 62 43 98
"ENSMUSG00000000305" 106 393 274 485 441 407 429 269
"ENSMUSG00000000308" 986 2495 2062 2902 3045 2591 2132 3070
"ENSMUSG00000000317" 3 16 19 23 22 17 16 25
"ENSMUSG00000000318" 2 7 9 10 7 10 9 11
"ENSMUSG00000000320" 3 7 4 10 5 3 0 4
"ENSMUSG00000000325" 55 171 143 133 155 159 114 176
"ENSMUSG00000000326" 85 140 105 192 172 161 113 198
"ENSMUSG00000000339" 99 302 226 279 323 279 206 390
"ENSMUSG00000000340" 121 205 173 196 205 153 95 265
"ENSMUSG00000000346" 346 747 651 823 904 754 574 957
"ENSMUSG00000000355" 95 326 219 301 338 351 297 383
"ENSMUSG00000000359" 3 7 7 13 11 7 4 8
"ENSMUSG00000000365" 4 4 4 8 16 17 7 5
"ENSMUSG00000000374" 498 1238 1035 1269 1590 1439 1202 1640
"ENSMUSG00000000378" 78 186 150 207 248 215 137 233
"ENSMUSG00000000381" 0 0 0 0 0 0 0 0
"ENSMUSG00000000384" 55 129 108 130 158 146 110 171
"ENSMUSG00000000385" 0 0 0 0 3 0 1 1
"ENSMUSG00000000386" 1 3 3 4 4 3 1 6
"ENSMUSG00000000392" 10 22 37 26 45 12 34 44
"ENSMUSG00000000394" 0 0 0 0 0 1 1 0
"ENSMUSG00000000399" 346 804 576 829 900 787 569 919
"ENSMUSG00000000402" 11 14 12 27 30 16 20 33
"ENSMUSG00000000409" 10 26 12 17 17 26 13 29
"ENSMUSG00000000411" 2 2 1 2 6 6 3 5
"ENSMUSG00000000416" 655 1418 1403 1965 1829 1610 1227 2023
"ENSMUSG00000000420" 341 720 736 930 980 833 612 1182
"ENSMUSG00000000435" 0 0 0 0 0 0 0 0
"ENSMUSG00000000439" 97 254 226 258 319 334 265 336
"ENSMUSG00000000440" 21 40 45 62 59 54 33 63
"ENSMUSG00000000441" 209 497 549 680 723 626 504 809
"ENSMUSG00000000486" 1 0 1 3 3 2 0 0
"ENSMUSG00000000489" 30 138 108 158 127 164 112 209
"ENSMUSG00000000530" 27 58 61 86 92 66 64 136
"ENSMUSG00000000531" 129 326 225 478 566 486 566 563
"ENSMUSG00000000532" 513 1128 843 1039 1281 1189 979 1410
"ENSMUSG00000000538" 978 2379 1991 2395 3222 2707 2160 2967
"ENSMUSG00000000544" 0 0 0 0 0 0 0 0
"ENSMUSG00000000552" 118 171 157 172 264 154 125 192
"ENSMUSG00000000555" 6 9 4 22 15 8 15 23
"ENSMUSG00000000560" 579 1391 950 1307 955 1215 836 1228
"ENSMUSG00000000561" 189 437 356 481 449 415 330 495
"ENSMUSG00000000562" 1 4 6 10 9 6 5 6
"ENSMUSG00000000563" 800 1896 1319 1595 1860 1670 1357 1986
"ENSMUSG00000000567" 209 174 196 171 253 212 161 211
"ENSMUSG00000000568" 691 1134 871 880 1161 854 604 1402
"ENSMUSG00000000579" 0 6 10 5 13 7 1 8
"ENSMUSG00000000581" 146 433 257 331 388 377 315 413
"ENSMUSG00000000594" 199 567 456 661 778 690 513 779
"ENSMUSG00000000600" 274 658 666 730 748 748 475 799
"ENSMUSG00000000605" 961 2229 1742 2399 2328 2261 1695 2909
"ENSMUSG00000000606" 0 0 0 0 0 0 0 0
"ENSMUSG00000000617" 0 0 0 0 0 0 0 0
"ENSMUSG00000000627" 108 266 177 204 223 272 172 286
"ENSMUSG00000000628" 18 35 44 38 39 29 18 44
"ENSMUSG00000000631" 1237 2194 2383 2326 2800 2005 1481 3108
"ENSMUSG00000000632" 598 1981 980 1601 2104 2226 1502 1955
"ENSMUSG00000000673" 0 1 0 0 0 0 0 1
"ENSMUSG00000000682" 4 13 6 7 4 10 13 6
"ENSMUSG00000000686" 1 3 3 4 14 6 7 10
"ENSMUSG00000000690" 0 0 0 0 0 0 0 0
"ENSMUSG00000000693" 20 27 29 47 55 41 37 56
"ENSMUSG00000000701" 0 0 0 0 0 0 0 0
"ENSMUSG00000000706" 0 0 2 0 1 0 0 0
"ENSMUSG00000000708" 117 292 261 273 354 316 251 431
"ENSMUSG00000000711" 570 1392 1137 1741 1922 1881 1654 1987
